track_id;mbtags;title;artist_name;release;artist_hot;song_hot;danceability;year;tempo;time_signature;asr;mean_section_start;mean_beats_start;mean_bars_start;mean_tatums_start;key;mode;mean_segments_loudness_start;mean_segments_loudness_max_time;max_segments_loudness;mean_segments_timbre;mean_segments_pitches;first_segments_start;start_of_fade_out;loudness;energy
b'TRAUUQJ12903CBB6B4';NA;b'Sincerely';b'Don & Juan';b'Don & Juan';0.317036751943;nan;0.0;0;98.442;3;22050;56.7556733333;70.5546571983;69.6659598667;70.5548359179;2;1;-18.6897322404;0.0810357650273;-5.525;4.92833606557;0.347510245902;0.84463;135.5;-10.666;0.0
b'TRAUUQI128F92D8620';NA;b'Merry-Go-Runaround';b'Bob Hope';b'Thanks For The Memory';0.33641973758;nan;0.0;2003;133.325;1;22050;61.9314322222;73.2980354462;73.2980354462;73.1848971538;8;1;-27.6613714953;0.0908435747664;-7.807;2.3059709891;0.329938668224;0.39778;147.722;-13.21;0.0
b'TRAUUIF128F93232FE';b'industrial rock';"b""Don't Know How To Be""";b'God Lives Underwater';b'Empty';0.36338641535;0.561428517629;0.0;1995;169.966;4;22050;93.14984;105.808465569;105.278666779;105.720209749;2;1;-14.6607086777;0.0462224690083;-1.91;11.4707032541;0.403941373967;0.38227;207.975;-5.66;0.0
b'TRAUUQO128F4297426';NA;b'Althea Cooley';b'Mack and Jamie';b'Extreme Channel Surfing';0.266269757193;nan;0.0;0;118.668;3;22050;9.424835;13.458649434;12.144881875;13.4556619048;9;0;-30.199525;0.06889725;-6.919;7.69677291667;0.379891666667;0.28735;27.637;-14.629;0.0
b'TRAUUZF128EF347CD5';b'classic pop and rock';"b""Devil's Daughter""";b'Eric Burdon';b'Soldier Of Fortune';0.359185992752;0.463489662237;0.0;1988;80.031;4;22050;130.597998182;128.38863828;126.884516235;128.388279026;5;1;-20.6324527027;0.0588860810811;-4.762;9.20561903153;0.376003603604;0.16544;256.935;-8.737;0.0
b'TRAUURC128E078EC6E';b'hip-hop';"b""I'm Back""";b'Eminem';b'The Marshall Mathers LP';0.804830427831;0.811707531414;0.0;2000;180.168;4;22050;150.367335;155.863976159;154.695355388;155.94747412;11;0;-24.3965225155;0.047875636646;0.935;7.69177613872;0.406171325052;0.40939;288.502;-3.989;0.0
b'TRAUUEG128F428F323';NA;b'Yearning Just For You';b'Bob Wills';b'For The Last Time';0.379960766975;nan;0.0;0;88.301;1;22050;72.0484266667;77.1185130088;77.1185130088;77.1180026049;2;1;-22.1092875696;0.0519383116883;-4.922;-1.42115105133;0.301718150897;0.42667;151.65;-12.009;0.0
b'TRAUUFZ128F933AB89';NA;b'Canci\xc3\xb3n De T\xc3\xadteres';b'Mar\xc3\xada Elena Walsh';b'Todos Cantamos Con Maria Elena';0.257062920296;nan;0.0;0;111.104;4;22050;49.9860433333;55.8643965217;55.3208605882;55.8649103373;1;1;-23.5283093923;0.0655401104972;-5.028;4.19493347145;0.247476979742;0.41356;111.554;-11.836;0.0
b'TRAUUYL128F9322F64';NA;b'ONE WAY LOVE';b'An Cafe';b'Goku Tama Rock Cafe';0.313866600157;nan;0.0;0;152.988;4;22050;134.19582;135.028078551;134.048637849;135.028004133;6;1;-9.54397231451;0.0747940199336;-1.504;5.91930795496;0.413029623477;0.3049;269.711;-3.856;0.0
b'TRAUYNK128F425BDB9';b'american';b'Intro. & Hello Young Lovers (Live) (2000 Digital Remaster)';b'Bobby Darin';b'Live From Las Vegas';0.469425907976;nan;0.0;0;71.356;4;22050;39.4477225;62.6703920408;59.3515202941;62.530201086;7;1;-20.6218181818;0.0749008409091;-5.926;11.3015746212;0.395055871212;0.69338;124.917;-10.387;0.0
